"Region,Subregion,Country,Month,By_Air,By_Sea,Total_Arrivals,Previous_Year_Arrivals,Growth_Percent"
"AMERICAS,North America,Canada,January,4297,161,4458,4126,8.0"
"AMERICAS,North America,Mexico,January,71,11,82,96,-14.6"
"AMERICAS,North America,United States,January,6423,644,7067,5712,23.7"
"AMERICAS,Caribbean & Central America,Costa Rica,January,8,1,9,20,-55.0"
"AMERICAS,Caribbean & Central America,Jamaica,January,3,0,3,4,-25.0"
"AMERICAS,Caribbean & Central America,Others,January,57,0,57,61,-6.6"
"AMERICAS,South America,Argentina,January,164,0,164,141,16.3"
"AMERICAS,South America,Brazil,January,229,5,234,236,-0.8"
"AMERICAS,South America,Chile,January,45,0,45,56,-19.6"
"AMERICAS,South America,Colombia,January,45,0,45,54,-16.7"
"AMERICAS,South America,Others,January,62,0,62,60,3.3"
"AFRICA,North Africa,Morocco,January,82,0,82,62,32.3"
"AFRICA,North Africa,Sudan,January,72,0,72,57,26.3"
"AFRICA,North Africa,Others,January,69,0,69,74,-6.8"
"AFRICA,Sub-Saharan Africa,Kenya,January,42,0,42,42,0.0"
"AFRICA,Sub-Saharan Africa,Mauritius,January,49,0,49,48,2.1"
"AFRICA,Sub-Saharan Africa,Nigeria,January,14,0,14,1,0.0"
"AFRICA,Sub-Saharan Africa,South Africa,January,358,7,365,332,9.9"
"AFRICA,Sub-Saharan Africa,Others,January,552,0,552,340,62.4"
"ASIA & PACIFIC,North East Asia,China,January,16700,9,16709,12528,33.4"
"ASIA & PACIFIC,North East Asia,Japan,January,2628,3,2631,1993,32.0"
"ASIA & PACIFIC,North East Asia,South Korea,January,2149,0,2149,1677,28.1"
"ASIA & PACIFIC,North East Asia,Others,January,28,0,28,15,86.7"
"ASIA & PACIFIC,South East Asia,Cambodia,January,26,0,26,42,-38.1"
"ASIA & PACIFIC,South East Asia,Indonesia,January,280,0,280,224,25.0"
"ASIA & PACIFIC,South East Asia,Malaysia,January,2124,1,2125,1096,93.9"
"ASIA & PACIFIC,South East Asia,Myanmar,January,97,0,97,106,-8.5"
"ASIA & PACIFIC,South East Asia,Philippines,January,422,2,424,262,61.8"
"ASIA & PACIFIC,South East Asia,Singapore,January,1037,11,1048,804,30.3"
"ASIA & PACIFIC,South East Asia,Thailand,January,624,1,625,505,23.8"
"ASIA & PACIFIC,South East Asia,Vietnam,January,257,0,257,166,54.8"
"ASIA & PACIFIC,South East Asia,Others,January,51,0,51,9,466.7"
"ASIA & PACIFIC,Oceania,Australia,January,9465,98,9563,6645,43.9"
"ASIA & PACIFIC,Oceania,New Zealand,January,992,5,997,732,36.2"
"ASIA & PACIFIC,Oceania,Others,January,41,0,41,22,86.4"
"ASIA & PACIFIC,South Asia,Afghanistan,January,6,0,6,26,-76.9"
